velocity,roll_deg,steer_command,lat_accel,target_lat_accel
10.0,0.0,-0.9510565162951536,0.004887585532746819,0.0
10.0,0.0,-0.9297764858882512,0.004887585532746819,0.0
10.0,0.0,-0.9048270524660199,0.004887585532746819,0.0
10.0,0.0,-0.8763066800438638,0.014662756598240456,0.0
10.0,0.0,-0.8443279255020155,-0.48533724340175954,0.0
10.0,0.0,-0.8090169943749476,-0.9853372434017595,0.0
10.0,0.0,-0.7705132427757896,-0.9824046920821115,0.0
10.0,0.0,-0.7289686274214116,-0.9726295210166178,0.0
10.0,0.0,-0.684547105928689,-0.913978494623656,0.0
10.0,0.0,-0.6374239897486896,-0.9042033235581624,0.0
10.0,0.0,-0.5877852522924734,-0.8846529814271751,0.0
10.0,0.0,-0.5358267949789963,-0.8260019550342133,0.0
10.0,0.0,-0.4817536741017153,-0.7869012707722387,0.0
10.0,0.0,-0.4257792915650722,-0.7282502443792769,0.0
10.0,0.0,-0.3681245526846787,-0.6598240469208214,0.0
10.0,0.0,-0.3090169943749477,-0.5816226783968723,0.0
10.0,0.0,-0.24868988716485535,-0.5131964809384169,0.0
10.0,0.0,-0.18738131458572468,-0.42521994134897323,0.0
10.0,0.0,-0.12533323356430465,-0.32746823069403685,0.0
10.0,0.0,-0.06279051952931326,-0.2883675464320623,0.0
10.0,0.0,-2.4492935982947064e-16,-0.2101661779081132,0.0
10.0,0.0,0.06279051952931278,-0.12218963831867047,0.0
10.0,0.0,0.12533323356430418,-0.03421309872922773,0.0
10.0,0.0,0.1873813145857242,0.06353861192570864,0.0
10.0,0.0,0.24868988716485488,0.14173998044965774,0.0
10.0,0.0,0.3090169943749472,0.22971652003910048,0.0
10.0,0.0,0.3681245526846782,0.3079178885630496,0.0
10.0,0.0,0.42577929156507255,0.3665689149560114,0.0
10.0,0.0,0.48175367410171566,0.4740957966764414,0.0
10.0,0.0,0.5358267949789967,0.5522971652003914,0.0
10.0,0.0,0.5877852522924736,0.6402737047898341,0.0
