velocity,steer_command,lat_accel,target_lat_accel
1.0,-0.9510565162951536,0.004887585532746819,0.0
1.0,-0.9297764858882512,0.004887585532746819,0.0
1.0,-0.9048270524660199,0.004887585532746819,0.0
1.0,-0.8763066800438638,-0.004887585532746819,0.0
1.0,-0.8443279255020155,-0.5048875855327468,0.0
1.0,-0.8090169943749476,-1.0048875855327468,0.0
1.0,-0.7705132427757896,-1.0019550342130987,0.0
1.0,-0.7289686274214116,-0.9628543499511242,0.0
1.0,-0.684547105928689,-0.9335288367546433,0.0
1.0,-0.6374239897486896,-0.913978494623656,0.0
1.0,-0.5877852522924734,-0.8651026392961878,0.0
1.0,-0.5358267949789963,-0.8357771260997069,0.0
1.0,-0.4817536741017153,-0.7966764418377323,0.0
1.0,-0.4257792915650722,-0.7380254154447705,0.0
1.0,-0.3681245526846787,-0.6793743890518087,0.0
1.0,-0.3090169943749477,-0.6011730205278596,0.0
1.0,-0.24868988716485535,-0.5425219941348978,0.0
1.0,-0.18738131458572468,-0.45454545454545414,0.0
1.0,-0.12533323356430465,-0.37634408602150504,0.0
1.0,-0.06279051952931326,-0.29814271749755594,0.0
1.0,-2.4492935982947064e-16,-0.22971652003910048,0.0
1.0,0.06279051952931278,-0.16129032258064502,0.0
1.0,0.12533323356430418,-0.1026392961876832,0.0
1.0,0.1873813145857242,-0.024437927663734094,0.0
1.0,0.24868988716485488,0.07331378299120228,0.0
1.0,0.3090169943749472,0.16129032258064502,0.0
1.0,0.3681245526846782,0.24926686217008776,0.0
1.0,0.42577929156507255,0.3372434017595305,0.0
1.0,0.48175367410171566,0.42521994134897323,0.0
1.0,0.5358267949789967,0.5131964809384169,0.0
1.0,0.5877852522924736,0.6011730205278596,0.0
1.0,0.6374239897486899,0.669599217986315,0.0
1.0,0.6845471059286893,0.7380254154447705,0.0
1.0,0.7289686274214107,0.806451612903226,0.0
1.0,0.7705132427757887,0.8651026392961878,0.0
1.0,0.8090169943749468,0.9433040078201369,0.0
1.0,0.8443279255020147,1.021505376344086,0.0
1.0,0.8763066800438631,1.0899315738025415,0.0
1.0,0.9048270524660194,1.1388074291300097,0.0
1.0,0.9297764858882511,1.1876832844574778,0.0
1.0,0.9510565162951535,1.2463343108504397,0.0
1.0,0.968583161128631,1.3049853372434015,0.0
1.0,0.9822872507286886,1.3538611925708697,0.0
1.0,0.9921147013144778,1.373411534701857,0.0
1.0,0.9980267284282716,1.4027370478983379,0.0
1.0,1.0,1.4320625610948188,0.0
1.0,0.9980267284282716,1.4418377321603124,0.0
1.0,0.9921147013144779,1.4418377321603124,0.0
1.0,0.9822872507286886,1.4320625610948188,0.0
1.0,0.9685831611286311,1.4027370478983379,0.0
1.0,0.9510565162951536,1.373411534701857,0.0
1.0,0.9297764858882517,1.344086021505376,0.0
1.0,0.9048270524660192,1.3147605083088951,0.0
1.0,0.8763066800438634,1.2854349951124142,0.0
1.0,0.8443279255020151,1.2463343108504397,0.0
1.0,0.8090169943749477,1.2072336265884651,0.0
1.0,0.7705132427757886,1.1485826001955033,0.0
1.0,0.728968627421411,1.0899315738025415,0.0
1.0,0.6845471059286897,1.050830889540567,0.0
1.0,0.6374239897486911,1.0019550342130987,0.0
1.0,0.5877852522924734,0.913978494623656,0.0
1.0,0.5358267949789972,0.8455522971652005,0.0
1.0,0.4817536741017162,0.7869012707722387,0.0
1.0,0.42577929156507394,0.7184750733137832,0.0
1.0,0.368124552684678,0.6304985337243405,0.0
1.0,0.3090169943749478,0.562072336265885,0.0
1.0,0.2486898871648555,0.5034213098729223,0.0
1.0,0.18738131458572568,0.43499511241446687,0.0
1.0,0.1253332335643039,0.3665689149560114,0.0
1.0,0.06279051952931339,0.29814271749755594,0.0
1.0,3.6739403974420594e-16,0.21994134897360684,0.0
1.0,-0.06279051952931265,0.15151515151515138,0.0
1.0,-0.12533323356430318,0.08308895405669592,0.0
1.0,-0.18738131458572496,0.004887585532746819,0.0
1.0,-0.24868988716485477,-0.07331378299120228,0.0
1.0,-0.30901699437494706,-0.16129032258064502,0.0
1.0,-0.36812455268467725,-0.23949169110459412,0.0
1.0,-0.42577929156507327,-0.3079178885630496,0.0
1.0,-0.48175367410171555,-0.37634408602150504,0.0
1.0,-0.5358267949789965,-0.45454545454545414,0.0
1.0,-0.5877852522924728,-0.5425219941348978,0.0
1.0,-0.6374239897486905,-0.6109481915933532,0.0
1.0,-0.6845471059286892,-0.698924731182796,0.0
1.0,-0.7289686274214106,-0.7673509286412514,0.0
1.0,-0.770513242775788,-0.8260019550342133,0.0
1.0,-0.8090169943749472,-0.8944281524926687,0.0
1.0,-0.8443279255020146,-0.9628543499511242,0.0
1.0,-0.876306680043863,-1.0312805474095796,0.0
1.0,-0.9048270524660189,-1.1094819159335287,0.0
1.0,-0.9297764858882513,-1.1779081133919842,0.0
1.0,-0.9510565162951534,-1.236559139784946,0.0
1.0,-0.968583161128631,-1.2952101661779083,0.0
1.0,-0.9822872507286885,-1.3440860215053765,0.0
1.0,-0.9921147013144779,-1.3636363636363638,0.0
1.0,-0.9980267284282716,-1.3734115347018574,0.0
1.0,-1.0,-1.3929618768328447,0.0
1.0,-0.9980267284282716,-1.3929618768328447,0.0
1.0,-0.992114701314478,-1.383186705767351,0.0
1.0,-0.9822872507286886,-1.383186705767351,0.0
1.0,-0.9685831611286312,-1.3734115347018574,0.0
1.0,-0.9510565162951538,-1.3636363636363638,0.0
1.0,-0.9297764858882517,-1.3343108504398828,0.0
1.0,-0.9048270524660192,-1.304985337243402,0.0
1.0,-0.8763066800438635,-1.2854349951124147,0.0
1.0,-0.8443279255020151,-1.2561094819159337,0.0
1.0,-0.8090169943749477,-1.2170087976539588,0.0
1.0,-0.7705132427757886,-1.158357771260997,0.0
1.0,-0.7289686274214111,-1.1094819159335287,0.0
1.0,-0.6845471059286898,-1.0801564027370478,0.0
1.0,-0.6374239897486912,-1.050830889540567,0.0
1.0,-0.5877852522924735,-1.0117302052785924,0.0
1.0,-0.5358267949789973,-0.9726295210166178,0.0
1.0,-0.4817536741017163,-0.913978494623656,0.0
1.0,-0.42577929156507405,-0.8162267839687196,0.0
1.0,-0.3681245526846781,-0.7380254154447705,0.0
1.0,-0.3090169943749479,-0.6598240469208214,0.0
1.0,-0.2486898871648556,-0.5718475073313787,0.0
1.0,-0.1873813145857258,-0.48387096774193505,0.0
1.0,-0.125333233564304,-0.40566959921798595,0.0
1.0,-0.06279051952931351,-0.32746823069403685,0.0
1.0,-4.898587196589413e-16,-0.2590420332355814,0.0
1.0,0.06279051952931075,-0.19061583577712593,0.0
