t,x,y,heading
0.0,0.0,0.0,0.0
0.1,2.939903181451873,-0.00466538418530046,-0.0015869162965807676
0.2,5.879433185870509,-0.013610449089951921,-0.0030430161559541237
0.30000000000000004,8.816492035520321,-0.025748217912229858,-0.004132603514467653
0.4,11.752109000328566,-0.04004110765798036,-0.0048687471767246936
0.5,14.685975708281301,-0.05651708985811149,-0.005615731947581688
0.6000000000000001,17.618379452499898,-0.07510936333912355,-0.006340199364475896
0.7000000000000001,20.547968261682577,-0.09584506950464412,-0.007077907942345877
0.8,23.475864816669446,-0.1187574620102228,-0.007825387400260104
0.9,26.40137939042286,-0.14360305752643035,-0.008492522451875737
1.0,29.326872646521124,-0.17042314080399265,-0.00916745642032659
1.1,32.25156303759452,-0.19915838520136492,-0.009824739028061046
1.2000000000000002,35.175712935063615,-0.22969599026446896,-0.010442862387173166
1.3,38.098097770201164,-0.26185090957478496,-0.011002528278247353
1.4000000000000001,41.01937595956581,-0.29522781983833657,-0.011424950266204326
1.5,43.93923235133295,-0.32876665047376374,-0.01148596068673323
1.6,46.857936086332565,-0.3623207480429349,-0.011495726365274801
1.7000000000000002,49.775174761485005,-0.3958842607364313,-0.011504726081691459
1.8,52.692871193872946,-0.4294705697921551,-0.0115107333676923
1.9000000000000001,55.61030956272154,-0.4632792936569855,-0.011587977631326485
2.0,58.528244435878655,-0.4977088653563868,-0.011798746555165048
2.1,61.446436808657616,-0.5328929183560727,-0.012056212817697812
2.2,64.36528019416613,-0.568922015527335,-0.012342994372284427
2.3000000000000003,67.28491723894453,-0.6058871790950887,-0.012660199896810763
2.4000000000000004,70.20608109737069,-0.6443468806673901,-0.013165122348345276
2.5,73.12816830353515,-0.6847651882804073,-0.013831117071673603
2.6,76.05232538337263,-0.7273500462729691,-0.014562093171809731
2.7,78.97860704264819,-0.7723812785237993,-0.01538733567753493
2.8000000000000003,81.90661081181533,-0.8208866976629421,-0.016564521947792076
2.9000000000000004,84.83698864659625,-0.8728302089048477,-0.017724018834267247
3.0,87.76915671807383,-0.9282852633827402,-0.018910390766462365
3.1,90.70391177628579,-0.9873113280986814,-0.020110062451462633
3.2,93.64113075845886,-1.0501103188386138,-0.021377168266677682
3.3000000000000003,96.581975333073,-1.1170061947372985,-0.02274324253687078
3.4000000000000004,99.5239347885513,-1.1879067603324067,-0.024095112498282768
3.5,102.46854351283328,-1.2628824090462016,-0.025456506941802324
3.6,105.41441553761678,-1.3418968181842879,-0.02681564859725581
3.7,108.36345003467403,-1.425032477678304,-0.028183341645935084
3.8000000000000003,111.31337107463592,-1.5122057864171123,-0.029542467645498963
3.9000000000000004,114.2661299264973,-1.6034385755285323,-0.030887647245454192
4.0,117.22027522456753,-1.698654679579353,-0.03222020006123201
4.1000000000000005,120.17803044513471,-1.797841064017112,-0.03352178325046916
4.2,123.13861264766224,-1.9009826238362149,-0.03482418501431402
4.3,126.10287257371255,-2.0080167158220865,-0.036092520196420466
4.4,129.06981743420923,-2.118719962611553,-0.03729490137504041
4.5,132.03973683300669,-2.2329304218022044,-0.03843680381138989
4.6000000000000005,135.01219784083304,-2.3506562781469746,-0.039584828562617455
4.7,137.98791315165823,-2.4718503819826965,-0.04070522468254202
4.800000000000001,140.9667266027113,-2.596428283515773,-0.04179696038353328
4.9,143.94860259543356,-2.7241286077070783,-0.04279934572814917
5.0,146.93391607054554,-2.8550085874988915,-0.043813229152704816
5.1000000000000005,149.92151310524906,-2.9887608312085012,-0.04473929734793294
5.2,152.91256143387227,-3.1253431795406263,-0.045632005664537754
5.300000000000001,155.90582781805375,-3.2647166578175764,-0.04652873091643636
5.4,158.9031386689167,-3.406914397023633,-0.047406227647639784
5.5,161.90244321820177,-3.551990520217465,-0.04833225068069678
5.6000000000000005,164.90547695162408,-3.699925897893586,-0.049222185869936666
5.7,167.91071151638118,-3.850541995720035,-0.05007601841852912
5.800000000000001,170.91873436242713,-4.003879158443046,-0.05093197715142327
5.9,173.9294191891243,-4.159871479060286,-0.0517666122084865
6.0,176.94233863132155,-4.318108890071774,-0.052471420162885966
6.1000000000000005,179.957579065149,-4.478496312758403,-0.053142167244697544
6.2,182.97360214233996,-4.640934625128632,-0.05380645892620966
6.300000000000001,185.99158651345388,-4.805403500649006,-0.05444241230273322
6.4,189.0102617289031,-4.971446875459494,-0.05495000504995852
