t,vEgo,aEgo,roll,targetLateralAcceleration,currentLateralAcceleration,steerCommand
20,33.6662993138583,-0.1427389358746498,0.03793931258879211,1.0737234709618368,1.0737234709618368,0.3224416333145364
21,33.6629245725833,-0.0952381240838884,0.03906409090735484,1.0527911761675326,1.0527911761675326,0.3037519433958606
22,33.65764991040884,-0.0661868093852008,0.04018881973154046,1.0243747365375606,1.0243747365375606,0.1855302560225258
23,33.662165243010804,0.0011238148488627,0.03989618386489049,0.7800144861106189,0.7800144861106189,0.1823100915216171
24,33.67285350424658,0.0658829392096585,0.039536789599888766,0.7701471502025644,0.7701471502025644,0.1788544009828539
25,33.67554090121588,0.0439748482833553,0.03927424639458365,0.7606936247013875,0.7606936247013875,0.1829872511575265
26,33.67382149315373,0.0294165545009753,0.0391375884843588,0.7675926000293568,0.7675926000293568,0.1849436047777162
27,33.669148863392884,-0.0181656245146981,0.03900092984209933,0.7701212729106445,0.7701212729106445,0.1862974566353196
28,33.66716762759941,-0.0174871773015694,0.03906697350427865,0.7734588263379781,0.7734588263379781,0.1864954802509668
29,33.660892131542724,-0.044179291045929,0.039149412764220314,0.7746073695177639,0.7746073695177639,0.1813171704228903
30,33.658822105796624,-0.0399783404686168,0.039567615490608624,0.768343857412982,0.768343857412982,0.1871975204817226
31,33.65074046226451,-0.0664541166899483,0.040381178542231354,0.7880037662795076,0.7880037662795076,0.1910825986379111
32,33.6548224105023,0.0206939086188863,0.04119471482338618,0.8037960334517689,0.8037960334517689,0.191907042251222
33,33.64386412609669,-0.0622102717520619,0.04141159366759994,0.8074734025781413,0.8074734025781413,0.1881706260802332
34,33.647208299022104,-0.0132308830176661,0.04158063796988911,0.8016847911581142,0.8016847911581142,0.1910793141516949
35,33.64080758168798,-0.0352113795292076,0.04177272363633906,0.8093308107381891,0.8093308107381891,0.2008344777981709
36,33.63600141754381,-0.0487382558285624,0.0419920734067796,0.8309922778751787,0.8309922778751787,0.2031680192614447
37,33.65191450252621,0.0696080174283106,0.04221142115324979,0.8379868484463135,0.8379868484463135,0.221073146557403
38,33.653792114943386,0.0365611087746741,0.04261926081592791,0.8781050023664648,0.8781050023664648,0.2469964845843575
39,33.66081964695643,0.0697003814791755,0.043043229522035785,0.9350315270915028,0.9350315270915028,0.2705843566564013
40,33.65520028481505,-0.0128070008909655,0.04300438047726395,0.9829995984993009,0.9829995984993009,0.2733461859998246
41,33.645373681057464,-0.0876459384495089,0.042373030835783254,0.9823740974924196,0.9823740974924196,0.2755280465121247
42,33.638457015861704,-0.0759239025904162,0.04174166427347679,0.9805936345655452,0.9805936345655452,0.2774444280098906
43,33.64081556319291,0.0028193685153314,0.04095189012428196,0.9768409063244464,0.9768409063244464,0.277689029852134
44,33.640735811082955,0.0176980742434908,0.040151437991712474,0.9694934009967991,0.9694934009967991,0.2766767077630289
45,33.636110075171324,-0.0445532225336679,0.03933615144258718,0.9593378717353104,0.9593378717353104,0.2791917751286722
46,33.636283430572995,-0.0008953036001801,0.038501233661642216,0.9563531205207432,0.9563531205207432,0.2828452882560783
47,33.6256753170664,-0.0337493303238202,0.03766628900124744,0.9555821536445844,0.9555821536445844,0.2887751319895727
48,33.62275226148448,-0.01295097505085,0.03684624759429225,0.959805023761181,0.959805023761181,0.2832280595533997
49,33.615324920203534,-0.060321615970125,0.036026847725960286,0.9401465642115588,0.9401465642115588,0.2862563344913217
50,33.60975670261897,-0.0484105033311505,0.03502926375143954,0.936562059691202,0.936562059691202,0.2895757471420925
51,33.61257369259475,0.0090057331139934,0.03379819076333039,0.9314206330604492,0.9314206330604492,0.2856321351897817
52,33.61474238948256,-0.003507277885872,0.03256706649195244,0.9111837330570666,0.9111837330570666,0.2733471136375373
53,33.6310706438621,0.101786896216282,0.03139431621108062,0.8744806771807574,0.8744806771807574,0.2639724072176482
54,33.627716467924195,0.0392405693261891,0.030224436722197146,0.8436483842390793,0.8436483842390793,0.262629567644574
55,33.62939436216317,0.0579091332893275,0.02861911670275261,0.8251624395114685,0.8251624395114685,0.2350956384595942
56,33.631312300972404,0.0218726941785735,0.02643582662579231,0.7475194362244987,0.7475194362244987,0.2229829446426595
