t,vEgo,aEgo,roll,rollLateralAcceleration,targetLateralAcceleration,currentLateralAcceleration,steerCommand,theta_a,theta_b,theta_c,theta_d
20,33.6662993138583,-0.1427389358746498,0.0379484200761454,0.3721846564960506,1.0737234709618368,1.0737234709618368,0.3224416333145364,0.9,1.5,1.0,0.0
21,33.6629245725833,-0.0952381240838884,0.0390740330574359,0.383218731801151,1.0527911761675326,1.0527911761675326,0.3037519433958606,0.7829854750407381,1.5,0.9592412056173263,-0.10951229093213889
22,33.65764991040884,-0.0661868093852008,0.0401996460387263,0.39425232156641193,1.0243747365375606,1.0243747365375606,0.1855302560225258,0.8327922059115054,1.2715203254710172,0.9871191148341899,-0.06847728511416667
23,33.662165243010804,0.0011238148488627,0.0399067752820611,0.3913815637145757,0.7800144861106189,0.7800144861106189,0.1823100915216171,0.8167083061836296,1.1693537185715397,0.9520166164690855,-0.10429169230850724
24,33.67285350424658,0.0658829392096585,0.0395470972251954,0.3878559059749088,0.7701471502025644,0.7701471502025644,0.1788544009828539,0.8256671945577393,1.2453874127916262,0.9384800763797144,-0.12480339470988962
25,33.67554090121588,0.0439748482833553,0.0392843499435662,0.3852803571308656,0.7606936247013875,0.7606936247013875,0.1829872511575265,0.6975827993137171,1.174062742847362,0.9882102035630546,0.0022573292321352717
26,33.67382149315373,0.0294165545009753,0.0391475868832913,0.3839397430315598,0.7675926000293568,0.7675926000293568,0.1849436047777162,0.8126327213888797,1.054970274025349,0.9390496058552941,-0.12849126220460533
27,33.669148863392884,-0.0181656245146981,0.0390108238230165,0.3825991217509945,0.7701212729106445,0.7701212729106445,0.1862974566353196,0.7368227758590697,0.9766207326269587,0.96252055768273,-0.05655865961053312
28,33.66716762759941,-0.0174871773015694,0.0390769178564689,0.3832470100769736,0.7734588263379781,0.7734588263379781,0.1864954802509668,0.787287149681893,0.8997910352678724,0.9423264004873486,-0.11703413516039009
29,33.660892131542724,-0.044179291045929,0.03915942023223749,0.3840557392170013,0.7746073695177639,0.7746073695177639,0.1813171704228903,0.7459726027373671,0.8351473204142186,0.9537355873384264,-0.07879551947385019
30,33.658822105796624,-0.0399783404686168,0.0395779472558962,0.3881583079628706,0.768343857412982,0.768343857412982,0.1871975204817226,0.7768041343301783,0.7732506957195079,0.9392497750954818,-0.11699158715213097
31,33.65074046226451,-0.0664541166899483,0.0403921611277016,0.3961393614992896,0.7880037662795076,0.7880037662795076,0.1910825986379111,0.7535734756781031,0.7274726820162078,0.949653071975648,-0.09777224372640765
32,33.6548224105023,0.0206939086188863,0.0412063749995069,0.40412015241741844,0.8037960334517689,0.8037960334517689,0.191907042251222,0.7751705713530358,0.6815349751161599,0.9290431763140075,-0.12004863124540432
33,33.64386412609669,-0.0622102717520619,0.0414234390734686,0.4062477338791554,0.8074734025781413,0.8074734025781413,0.1881706260802332,0.7880524549401865,0.6451819639509282,0.906958701185095,-0.13187656956803248
34,33.647208299022104,-0.0132308830176661,0.0415926291052163,0.4079060584846122,0.8016847911581142,0.8016847911581142,0.1910793141516949,0.7958039787432211,0.6122843281330748,0.8860978886474288,-0.13892929825549294
35,33.64080758168798,-0.0352113795292076,0.0417848818107868,0.40979041887248624,0.8093308107381891,0.8093308107381891,0.2008344777981709,0.8020744001856988,0.5818642988914519,0.8653806168474198,-0.14413838096278303
36,33.63600141754381,-0.0487382558285624,0.0420044242197309,0.4119422401205079,0.8309922778751787,0.8309922778751787,0.2031680192614447,0.8073287836184565,0.5625467238314928,0.8504247175853441,-0.1478302878298126
37,33.65191450252621,0.0696080174283106,0.0422239666286751,0.4140940415133804,0.8379868484463135,0.8379868484463135,0.221073146557403,0.8092271837689446,0.5523672141487006,0.8418330318698567,-0.14876302623436233
38,33.653792114943386,0.0365611087746741,0.0426321736542009,0.4180949486042528,0.8781050023664648,0.8781050023664648,0.2469964845843575,0.807992578469308,0.5388592401598339,0.8301826963798127,-0.14672072866169694
39,33.66081964695643,0.0697003814791755,0.0430565317879911,0.42225408161117106,0.9350315270915028,0.9350315270915028,0.2705843566564013,0.8080353096742267,0.5390973304726883,0.8304340283644478,-0.14679227467891084
40,33.65520028481505,-0.0128070008909655,0.0430176467375035,0.4218729724819594,0.9829995984993009,0.9829995984993009,0.2733461859998246,0.814088730926744,0.5469614153601011,0.8390397661564369,-0.15321004450810105
41,33.645373681057464,-0.0876459384495089,0.0423857210357143,0.4156794324990337,0.9823740974924196,0.9823740974924196,0.2755280465121247,0.8260228142978611,0.554429858067415,0.8446695368987728,-0.16356852663105897
42,33.638457015861704,-0.0759239025904162,0.0417537953339251,0.4094857265228073,0.9805936345655452,0.9805936345655452,0.2774444280098906,0.8131869725941598,0.5488030255389013,0.8442550094473029,-0.15398192271013142
43,33.64081556319291,0.0028193685153314,0.0409633452156822,0.401738042119206,0.9768409063244464,0.9768409063244464,0.277689029852134,0.8065342464173023,0.545821799464534,0.8454305908282475,-0.14956719109265726
44,33.640735811082955,0.0176980742434908,0.04016223410202469,0.3938856066986994,0.9694934009967991,0.9694934009967991,0.2766767077630289,0.8040565111326721,0.5446662636533315,0.8466250597510689,-0.1482269818961673
45,33.636110075171324,-0.0445532225336679,0.0393463028655701,0.3858876456517803,0.9593378717353104,0.9593378717353104,0.2791917751286722,0.8034123698336324,0.5443457659607441,0.8471716357550487,-0.14797496053799897
46,33.636283430572995,-0.0008953036001801,0.0385107520307817,0.3776971022207102,0.9563531205207432,0.9563531205207432,0.2828452882560783,0.8041222054880884,0.5447422782868503,0.8462297391871091,-0.14811026824289172
47,33.6256753170664,-0.0337493303238202,0.0376752011959933,0.36950629510223737,0.9555821536445844,0.9555821536445844,0.2887751319895727,0.8094775685776578,0.5482993340663076,0.8354600614070473,-0.14756917271561093
48,33.62275226148448,-0.01295097505085,0.0368545900519202,0.361461688900007,0.959805023761181,0.959805023761181,0.2832280595533997,0.8168214899749155,0.553555702732381,0.8156317706462581,-0.14477448653290084
49,33.615324920203534,-0.060321615970125,0.0360346456916828,0.3534233761916704,0.9401465642115588,0.9401465642115588,0.2862563344913217,0.8265734803969149,0.560811766478654,0.7825224925529405,-0.13837302498334703
50,33.60975670261897,-0.0484105033311505,0.0350364314823387,0.3436370774016219,0.936562059691202,0.936562059691202,0.2895757471420925,0.8293986348088129,0.5627830646725885,0.771621198710705,-0.13604660602534752
51,33.61257369259475,0.0090057331139934,0.0338046287852161,0.33156025138827117,0.9314206330604492,0.9314206330604492,0.2856321351897817,0.8346421619355965,0.5693739214905518,0.7319437325819733,-0.12345675771025436
52,33.61474238948256,-0.003507277885872,0.0325728260880935,0.31948292228605346,0.9111837330570666,0.9111837330570666,0.2733471136375373,0.8390243732193551,0.5761015141990443,0.682879250849558,-0.10647484354705575
