timestep,v_ego,target_lataccel,current_lataccel,roll_lataccel,kappa_ref,delta_ref,yaw_rate_ref,yaw_rate_measured,e_yaw_rate,steer_command
0,33.770259857177734,1.0038640328608972,1.0038640328608972,0.36749025401205637,0.0005580119141772653,0.0015066310282917147,0.01884420734516741,0.01884420734516741,0.0,0.004803914534035173
1,33.76353329688475,1.0496809940407024,1.0496809940407024,0.36294632006596805,0.0006024114236835753,0.0016265094096161057,0.02033953816196414,0.02033953816196414,0.0,0.0034048241721709987
2,33.7559494075436,1.0562923599318137,1.0562923599318137,0.3584023081421195,0.0006124721606344756,0.0016536733263135242,0.02067457926790628,0.02067457926790628,0.0,0.002815258556096527
3,33.75833365816382,1.051750157312053,1.051750157312053,0.3587627564967035,0.000608083663706173,0.0016418244167779976,0.02052789121147167,0.02052789121147167,0.0,0.002543358307536197
4,33.752903797375545,1.0598310856860669,1.0598310856860669,0.3594747526408039,0.0006147475081157894,0.0016598167476505328,0.02074951350110858,0.02074951350110858,0.0,0.0025438306352875426
5,33.75393897160159,1.0960951134491497,1.0960951134491497,0.3603430801999454,0.0006457769645421245,0.0017435960373437087,0.021797516250420996,0.021797516250420996,0.0,0.002773106081316262
6,33.748666944516614,1.0973687244889054,1.0973687244889054,0.36139567754279095,0.0006461727861550248,0.0017446647524475111,0.02180747014855629,0.02180747014855629,0.0,0.0026656545125097416
7,33.74425976370754,1.099496668580522,1.099496668580522,0.3624482707192681,0.0006472859722859674,0.0017476703458366772,0.021842185990221683,0.02184218599022168,3.469446951953614e-18,0.002640789372531387
8,33.74331042579862,1.1036452327036586,1.1036452327036586,0.3601454408869036,0.0006529884155357587,0.0017630668951690322,0.022033990809873484,0.022033990809873488,-3.469446951953614e-18,0.0026762791495394513
9,33.7441404364284,1.1046687852281571,1.1046687852281571,0.3575815177921467,0.0006561068849681814,0.0017714867363390538,0.022139762867673888,0.022139762867673888,0.0,0.0026810129743474057
10,33.7456946725336,1.1030948308062565,1.1030948308062565,0.355636161428545,0.0006563725918378225,0.0017722041426348287,0.02214974907557868,0.022149749075578675,3.469446951953614e-18,0.0026667892129710385
11,33.73371215937989,1.1024215964845328,1.1024215964845328,0.35449089545362705,0.0006572537772840844,0.0017745833358573343,0.02217160973856648,0.02217160973856648,0.0,0.002667371092994993
12,33.72284976699085,1.1041635743863285,1.1041635743863285,0.3533456246408959,0.000660216100514325,0.0017825815832775873,0.02226436837139311,0.02226436837139311,0.0,0.002688043617110674
