t,vEgo,aEgo,roll,rollLateralAcceleration,targetLateralAcceleration,currentLateralAcceleration,steerCommand,u
20,33.6662993138583,-0.1427389358746498,0.0379484200761454,0.3721846564960506,1.0737234709618368,1.0737234709618368,0.3224416333145364,0.4676925429771908
21,33.6629245725833,-0.0952381240838884,0.0390740330574359,0.383218731801151,1.0527911761675326,1.0527911761675326,0.3037519433958606,0.4463816295775877
22,33.65764991040884,-0.0661868093852008,0.0401996460387263,0.39425232156641193,1.0243747365375606,1.0243747365375606,0.1855302560225258,0.42008160998076577
23,33.662165243010804,0.0011238148488627,0.0399067752820611,0.3913815637145757,0.7800144861106189,0.7800144861106189,0.1823100915216171,0.2590886149306954
24,33.67285350424658,0.0658829392096585,0.0395470972251954,0.3878559059749088,0.7701471502025644,0.7701471502025644,0.1788544009828539,0.25486082948510375
25,33.67554090121588,0.0439748482833553,0.0392843499435662,0.3852803571308656,0.7606936247013875,0.7606936247013875,0.1829872511575265,0.25027551171368123
26,33.67382149315373,0.0294165545009753,0.0391475868832913,0.3839397430315598,0.7675926000293568,0.7675926000293568,0.1849436047777162,0.25576857133186465
27,33.669148863392884,-0.0181656245146981,0.0390108238230165,0.3825991217509945,0.7701212729106445,0.7701212729106445,0.1862974566353196,0.2583481007731
28,33.66716762759941,-0.0174871773015694,0.0390769178564689,0.3832470100769736,0.7734588263379781,0.7734588263379781,0.1864954802509668,0.2601412108406697
29,33.660892131542724,-0.044179291045929,0.03915942023223749,0.3840557392170013,0.7746073695177639,0.7746073695177639,0.1813171704228903,0.2601412108406697
30,33.658822105796624,-0.0399783404686168,0.0395779472558962,0.3881583079628706,0.768343857412982,0.768343857412982,0.1871975204817226,0.2601412108406697
31,33.65074046226451,-0.0664541166899483,0.0403921611277016,0.3961393614992896,0.7880037662795076,0.7880037662795076,0.1910825986379111,0.2601412108406697
32,33.6548224105023,0.0206939086188863,0.0412063749995069,0.40412015241741844,0.8037960334517689,0.8037960334517689,0.191907042251222,0.2601412108406697
33,33.64386412609669,-0.0622102717520619,0.0414234390734686,0.4062477338791554,0.8074734025781413,0.8074734025781413,0.1881706260802332,0.3601412108406698
34,33.647208299022104,-0.0132308830176661,0.0415926291052163,0.4079060584846122,0.8016847911581142,0.8016847911581142,0.1910793141516949,0.3601412108406698
35,33.64080758168798,-0.0352113795292076,0.0417848818107868,0.40979041887248624,0.8093308107381891,0.8093308107381891,0.2008344777981709,0.3601412108406698
36,33.63600141754381,-0.0487382558285624,0.0420044242197309,0.4119422401205079,0.8309922778751787,0.8309922778751787,0.2031680192614447,0.4601412108406699
37,33.65191450252621,0.0696080174283106,0.0422239666286751,0.4140940415133804,0.8379868484463135,0.8379868484463135,0.221073146557403,0.4601412108406699
38,33.653792114943386,0.0365611087746741,0.0426321736542009,0.4180949486042528,0.8781050023664648,0.8781050023664648,0.2469964845843575,0.4601412108406699
39,33.66081964695643,0.0697003814791755,0.0430565317879911,0.42225408161117106,0.9350315270915028,0.9350315270915028,0.2705843566564013,0.4601412108406699
40,33.65520028481505,-0.0128070008909655,0.0430176467375035,0.4218729724819594,0.9829995984993009,0.9829995984993009,0.2733461859998246,0.4601412108406699
41,33.645373681057464,-0.0876459384495089,0.0423857210357143,0.4156794324990337,0.9823740974924196,0.9823740974924196,0.2755280465121247,0.4601412108406699
42,33.638457015861704,-0.0759239025904162,0.0417537953339251,0.4094857265228073,0.9805936345655452,0.9805936345655452,0.2774444280098906,0.4601412108406699
43,33.64081556319291,0.0028193685153314,0.0409633452156822,0.401738042119206,0.9768409063244464,0.9768409063244464,0.277689029852134,0.4601412108406699
44,33.640735811082955,0.0176980742434908,0.04016223410202469,0.3938856066986994,0.9694934009967991,0.9694934009967991,0.2766767077630289,0.4601412108406699
45,33.636110075171324,-0.0445532225336679,0.0393463028655701,0.3858876456517803,0.9593378717353104,0.9593378717353104,0.2791917751286722,0.4601412108406699
46,33.636283430572995,-0.0008953036001801,0.0385107520307817,0.3776971022207102,0.9563531205207432,0.9563531205207432,0.2828452882560783,0.4601412108406699
47,33.6256753170664,-0.0337493303238202,0.0376752011959933,0.36950629510223737,0.9555821536445844,0.9555821536445844,0.2887751319895727,0.4601412108406699
48,33.62275226148448,-0.01295097505085,0.0368545900519202,0.361461688900007,0.959805023761181,0.959805023761181,0.2832280595533997,0.4601412108406699
49,33.615324920203534,-0.060321615970125,0.0360346456916828,0.3534233761916704,0.9401465642115588,0.9401465642115588,0.2862563344913217,0.3601412108406699
50,33.60975670261897,-0.0484105033311505,0.0350364314823387,0.3436370774016219,0.936562059691202,0.936562059691202,0.2895757471420925,0.3601412108406699
51,33.61257369259475,0.0090057331139934,0.0338046287852161,0.33156025138827117,0.9314206330604492,0.9314206330604492,0.2856321351897817,0.3601412108406699
52,33.61474238948256,-0.003507277885872,0.0325728260880935,0.31948292228605346,0.9111837330570666,0.9111837330570666,0.2733471136375373,0.26014121084066993
53,33.6310706438621,0.101786896216282,0.0313994755555342,0.30797824203070084,0.8744806771807574,0.8744806771807574,0.2639724072176482,0.26014121084066993
54,33.627716467924195,0.0392405693261891,0.0302290403689136,0.296501724244754,0.8436483842390793,0.8436483842390793,0.262629567644574,0.16014121084066996
55,33.62939436216317,0.0579091332893275,0.0286230249096312,0.2807535348540031,0.8251624395114685,0.8251624395114685,0.2350956384595942,0.06014121084066998
56,33.631312300972404,0.0218726941785735,0.0264389067203436,0.25933545919902257,0.7475194362244987,0.7475194362244987,0.2229829446426595,0.06014121084066998
57,33.638276814195024,0.0401814615966941,0.0242547885310559,0.23791614641785108,0.7016215909793354,0.7016215909793354,0.2185118213719779,-0.03985878915933
58,33.639849181648785,0.0391416985204084,0.022656734159783,0.22224354701082719,0.6769279213065456,0.6769279213065456,0.2128960400293743,-0.03985878915933
59,33.63784286163287,-0.000707631657863,0.0211027176815635,0.207002295785555,0.6503341737796666,0.6503341737796666,0.1828498312683286,-0.13985878915932998
60,33.633581573745865,-0.0374594188331465,0.0190949718137352,0.1873102902262196,0.5703352005306995,0.5703352005306995,0.1734298998531505,-0.13985878915932998
61,33.64452909847544,0.0454970801738642,0.0165622151337077,0.16246790254427965,0.5268038680744593,0.5268038680744593,0.1273850292351077,-0.23985878915932995
62,33.646022276095884,0.0423475245525191,0.0140294584536803,0.13762447265463332,0.410801538627868,0.410801538627868,0.0998412813584251,-0.23985878915932995
63,33.63317401926288,-0.095262965240705,0.0123837796374648,0.12148177315438465,0.3404856491280307,0.3404856491280307,0.092487573760183,-0.23985878915932995
64,33.63780820117474,-0.0275535695997916,0.010806548112113,0.10601017361418419,0.3106341333067343,0.3106341333067343,0.038677762982669,-0.23985878915932995
65,33.63017878050374,-0.0659619005558451,0.0091675007257309,0.08993192241460024,0.1895507567447085,0.1895507567447085,0.0382732157868508,-0.33985878915932993
66,33.6328493657325,0.0136059350829016,0.007454419036918,0.07312717348821914,0.1719635090566191,0.1719635090566191,0.0021336157313992,-0.33985878915932993
67,33.63904280127819,0.0399106130553594,0.0057413373481051,0.056322209959313294,0.0848772130368339,0.0848772130368339,0.004621780613079,-0.33985878915932993
68,33.63986132110495,-0.0003443369318292,0.0037538976822521,0.03682564977312266,0.070218447495999,0.070218447495999,0.0081241718097686,-0.33985878915932993
69,33.64711250325824,0.0819410937010741,0.0017450683248043,0.017119111577626276,0.0573244859855111,0.0573244859855111,0.0001618651579725,-0.33985878915932993
70,33.6406897699555,0.0035113266500535,-0.00012092954732600001,-0.0011863188563766144,0.0235351491597513,0.0235351491597513,-0.0019515803597511,-0.33985878915932993
71,33.641537133559986,-0.0072596200905994,-0.0018002036904848002,-0.01765998866509998,0.0029522049090667,0.0029522049090667,0.0038348039957285,-0.33985878915932993
72,33.65155534957935,0.0302752387419727,-0.0034794778336436,-0.03413360867334431,-0.0022688316913747,-0.0022688316913747,-0.0103056390163333,-0.33985878915932993
73,33.656761358715585,0.0540876776799499,-0.0043852095510272,-0.043018767819666334,-0.0386576771595068,-0.0386576771595068,-0.0293963193895663,-0.33985878915932993
74,33.64438219112654,-0.0248987404874813,-0.005236051037846,-0.05136542597279242,-0.0841322823414378,-0.0841322823414378,-0.0242344716228861,-0.33985878915932993
75,33.641410584877654,-0.0577570436921097,-0.005921688339333,-0.05809142309802443,-0.0808120813327486,-0.0808120813327486,-0.0196674887339397,-0.33985878915932993
76,33.6483523924739,0.030633569839353,-0.0063928384684771005,-0.06271331820839852,-0.0765571945884414,-0.0765571945884414,-0.0237650821521391,-0.33985878915932993
77,33.656582701259424,0.0728434428629105,-0.0068639885976212005,-0.06733519939751721,-0.0891596562869796,-0.0891596562869796,-0.0336069425380152,-0.33985878915932993
78,33.65813404660512,0.0333217320944878,-0.0077765070915695,-0.07628676566776557,-0.1172691492061953,-0.1172691492061953,-0.0325352769519651,-0.33985878915932993
79,33.64752255765389,-0.1067355242932389,-0.0087098088437607,-0.08544214446325182,-0.1243220481657977,-0.1243220481657977,-0.0242698033339899,-0.23985878915932984
80,33.66086067647546,0.0272606961004379,-0.0096709744441453,-0.0948707804392084,-0.1176822504532899,-0.1176822504532899,-0.0191073265969487,-0.23985878915932984
81,33.647966053584426,-0.0441577658600931,-0.0106697706863788,-0.10466846442744089,-0.1174223432750768,-0.1174223432750768,-0.0086313332833143,-0.23985878915932984
82,33.655371822691684,0.0384482614190668,-0.0116685669286124,-0.11446604399905791,-0.1068475340975412,-0.1068475340975412,-0.008593028214652,-0.23985878915932984
83,33.67287673502032,0.11575665025889,-0.0121335906288375,-0.1190276033983222,-0.1113416198618786,-0.1113416198618786,0.0057903339024859,-0.23985878915932984
84,33.68253196196661,0.1006779700614573,-0.0125711010407864,-0.12331925307357891,-0.0876428685811169,-0.0876428685811169,0.0180860544189723,-0.23985878915932984
85,33.66979913934625,-0.0086025014202449,-0.012841009063352199,-0.12596683703448075,-0.066367544062446,-0.066367544062446,0.0203761090171511,-0.23985878915932984
86,33.656275790149614,-0.1042641536888259,-0.0128893527621801,-0.12644104947309648,-0.062397650692203,-0.062397650692203,0.0225806387371725,-0.23985878915932984
87,33.65854733866879,-0.0375399829123619,-0.012937696461008102,-0.12691526161620612,-0.0585800066376875,-0.0585800066376875,0.0230696482906781,-0.23985878915932984
88,33.66787238896972,0.0497156503253693,-0.0128842839241286,-0.12639132830069671,-0.0570944247000833,-0.0570944247000833,0.0231717975113011,-0.23985878915932984
89,33.662066025422725,-0.0025212404520531,-0.0128232109603532,-0.12579225201889946,-0.056302818853374,-0.056302818853374,0.0251924993512051,-0.23985878915932984
90,33.645824098890365,-0.1088884696052548,-0.0128241442313543,-0.12580140665464382,-0.0523984111183623,-0.0523984111183623,0.025593342354455,-0.23985878915932984
91,33.653315076970905,-0.0163790024062655,-0.012898674636024102,-0.12653248945377527,-0.0523406692269776,-0.0523406692269776,0.0251860741387889,-0.23985878915932984
92,33.66219982163114,0.0473906463878695,-0.012973205040693898,-0.12726357155004636,-0.0538537813672364,-0.0538537813672364,0.0292098248051481,-0.23985878915932984
93,33.66097991938574,0.054201521865407,-0.012852116213363001,-0.12607578918505394,-0.0448356248826344,-0.0448356248826344,0.0288623215363114,-0.23985878915932984
94,33.658043036059006,0.0001378362466506,-0.0127160818069903,-0.12474140070867366,-0.0441816359107721,-0.0441816359107721,0.0318894504067564,-0.23985878915932984
95,33.658115685389305,-0.0303772227556431,-0.0125182020838455,-0.12280035513776508,-0.0363480599417132,-0.0363480599417132,0.0339690911841056,-0.23985878915932984
96,33.65152666923141,-0.0226048352923649,-0.0122418001357633,-0.1200890598215415,-0.0295986178301143,-0.0295986178301143,0.0359876165024561,-0.23985878915932984
97,33.641082441184274,-0.0576536562215887,-0.0119653981876812,-0.11737775533075054,-0.0229754556059222,-0.0229754556059222,0.0374850358572254,-0.23985878915932984
98,33.63472872718886,-0.0707489657809792,-0.0117566083371921,-0.11532967097535182,-0.0180239473645808,-0.0180239473645808,0.0374990002885833,-0.23985878915932984
99,33.63370196567556,-0.0429487536292697,-0.0115526989166057,-0.11332945541614449,-0.0159983567850293,-0.0159983567850293,0.0368943701489112,-0.23985878915932984
