t,vEgo,aEgo,roll,targetLateralAcceleration,currentLateralAcceleration,steerCommand,ff_u_ff,ff_u_pid,ff_gain,ff_turning_lataccel,ff_roll_lataccel,ff_error
20,33.6662993138583,-0.1427389358746498,0.03793931258879211,1.0737234709618368,1.0737234709618368,0.3224416333145364,0.374807875897987,0.0006327822436309429,1.8717291166440884,0.7015388144657863,0.3721846564960506,0.00521760770880797
21,33.6629245725833,-0.0952381240838884,0.03906409090735484,1.0527911761675326,1.0527911761675326,0.3037519433958606,0.3576197377167936,-0.00211148372528816,1.872302822660839,0.6695724443663815,0.383218731801151,-0.02093229479430425
22,33.65764991040884,-0.0661868093852008,0.04018881973154046,1.0243747365375606,1.0243747365375606,0.1855302560225258,0.336388307731124,-0.004874767505760205,1.8731995152304968,0.6301224149711486,0.39425232156641193,-0.02841643962997198
23,33.662165243010804,0.0011238148488627,0.03989618386489049,0.7800144861106189,0.7800144861106189,0.1823100915216171,0.20755516961272127,-0.032785683972807636,1.8724319086881631,0.38863292239604313,0.3913815637145757,-0.24436025042694176
24,33.67285350424658,0.0658829392096585,0.039536789599888766,0.7701471502025644,0.7701471502025644,0.1788544009828539,0.20436661942196582,-0.023543122711830154,1.8706149042780809,0.3822912442276556,0.3878559059749088,-0.009867335908054442
25,33.67554090121588,0.0439748482833553,0.03927424639458365,0.7606936247013875,0.7606936247013875,0.1829872511575265,0.20073879221824645,-0.017380771883250948,1.8701580467932999,0.37541326757052185,0.3852803571308656,-0.009453525501176951
26,33.67382149315373,0.0294165545009753,0.0391375884843588,0.7675926000293568,0.7675926000293568,0.1849436047777162,0.20511255900731948,-0.015887186403115625,1.8704503461638655,0.383652856997797,0.3839397430315598,0.006898975327969348
27,33.669148863392884,-0.0181656245146981,0.03900092984209933,0.7701212729106445,0.7701212729106445,0.1862974566353196,0.20709325325708475,-0.015578759951334276,1.8712446932232096,0.38752215115965,0.3825991217509945,0.0025286728812876635
28,33.66716762759941,-0.0174871773015694,0.03906697350427865,0.7734588263379781,0.7734588263379781,0.1864954802509668,0.2084930929116838,-0.01546649969149659,1.8715815033081,0.39021181626100454,0.3832470100769736,0.0033375534273336616
29,33.660892131542724,-0.044179291045929,0.039149412764220314,0.7746073695177639,0.7746073695177639,0.1813171704228903,0.20855577763918354,-0.015521918063223703,1.872648337637737,0.39055163030076256,0.3840557392170013,0.0011485431797857437
30,33.658822105796624,-0.0399783404686168,0.039567615490608624,0.768343857412982,0.768343857412982,0.1871975204817226,0.202982114428981,-0.01641793372098458,1.873000242014574,0.38018554945011135,0.3881583079628706,-0.006263512104781932
31,33.65074046226451,-0.0664541166899483,0.040381178542231354,0.7880037662795076,0.7880037662795076,0.1910825986379111,0.20906413522418102,-0.013810139137705868,1.8743741214150336,0.39186440478021806,0.3961393614992896,0.019659908866525688
32,33.6548224105023,0.0206939086188863,0.04119471482338618,0.8037960334517689,0.8037960334517689,0.191907042251222,0.21331061892081593,-0.01250127423113764,1.8736801902146092,0.3996758810343504,0.40412015241741844,0.015792267172261232
33,33.64386412609669,-0.0622102717520619,0.04141159366759994,0.8074734025781413,0.8074734025781413,0.1881706260802332,0.21392505936348555,-0.013222426105431971,1.875543098563563,0.40122566869898585,0.4062477338791554,0.0036773691263723984
34,33.647208299022104,-0.0132308830176661,0.04158063796988911,0.8016847911581142,0.8016847911581142,0.1910793141516949,0.21001817035216797,-0.01451878892302339,1.8749745891662422,0.393778732673502,0.4079060584846122,-0.005788611420027068
35,33.64080758168798,-0.0352113795292076,0.04177272363633906,0.8093308107381891,0.8093308107381891,0.2008344777981709,0.21296750343098117,-0.01346077453620592,1.8760627111130432,0.3995403918657029,0.40979041887248624,0.007646019580074936
36,33.63600141754381,-0.0487382558285624,0.0419920734067796,0.8309922778751787,0.8309922778751787,0.2031680192614447,0.22326951726200162,-0.01097305944863715,1.8768797590175523,0.4190500377546708,0.4119422401205079,0.021661467136989576
37,33.65191450252621,0.0696080174283106,0.04221142115324979,0.8379868484463135,0.8379868484463135,0.221073146557403,0.2261757371653039,-0.011213221005957454,1.874174534570544,0.42389280693293313,0.4140940415133804,0.006994570571134839
38,33.653792114943386,0.0365611087746741,0.04261926081592791,0.8781050023664648,0.8781050023664648,0.2469964845843575,0.2454885624465438,-0.007244085499789696,1.8738553404596243,0.46001005376221205,0.4180949486042528,0.04011815392015128
39,33.66081964695643,0.0697003814791755,0.043043229522035785,0.9350315270915028,0.9350315270915028,0.2705843566564013,0.2738229388957023,-0.002131460815900122,1.8726606600174063,0.5127774454803318,0.42225408161117106,0.05692652472503801
40,33.65520028481505,-0.0128070008909655,0.04300438047726395,0.9829995984993009,0.9829995984993009,0.2733461859998246,0.2994886041313418,0.0002980463543626524,1.873615951581441,0.5611266260173415,0.4218729724819594,0.04796807140779802
41,33.645373681057464,-0.0876459384495089,0.042373030835783254,0.9823740974924196,0.9823740974924196,0.2755280465121247,0.3021909840356658,-0.0032796628695778035,1.875286474220231,0.5666946649933858,0.4156794324990337,-0.0006255010068813016
42,33.638457015861704,-0.0759239025904162,0.04174166427347679,0.9805936345655452,0.9805936345655452,0.2774444280098906,0.30435351982285436,-0.00482316813857655,1.8764623073035103,0.5711079080427379,0.4094857265228073,-0.0017804629268743932
43,33.64081556319291,0.0028193685153314,0.04095189012428196,0.9768409063244464,0.9768409063244464,0.277689029852134,0.3065480043604132,-0.005190372208513141,1.8760613542572053,0.5751028642052405,0.401738042119206,-0.003752728241098735
44,33.640735811082955,0.0176980742434908,0.040151437991712474,0.9694934009967991,0.9694934009967991,0.2766767077630289,0.30681493077955546,-0.005881041278127178,1.8760749121158975,0.5756077942980997,0.3938856066986994,-0.007347505327647275
45,33.636110075171324,-0.0445532225336679,0.03933615144258718,0.9593378717353104,0.9593378717353104,0.2791917751286722,0.30553681829766716,-0.00671118810756519,1.876861287220875,0.5734502260835301,0.3858876456517803,-0.010155529261488772
46,33.636283430572995,-0.0008953036001801,0.038501233661642216,0.9563531205207432,0.9563531205207432,0.2828452882560783,0.3083153285870032,-0.0064643942092834,1.8768318168025908,0.578656018300033,0.3776971022207102,-0.002984751214567205
47,33.6256753170664,-0.0337493303238202,0.03766628900124744,0.9555821536445844,0.9555821536445844,0.2887751319895727,0.311968954781337,-0.006147268821786654,1.8786351960987115,0.5860758585423471,0.36950629510223737,-0.0007709668761587407
48,33.62275226148448,-0.01295097505085,0.03684624759429225,0.959805023761181,0.959805023761181,0.2832280595533997,0.3184147244946627,-0.005520974604699323,1.8791321155476386,0.598343334861174,0.361461688900007,0.004222870116596611
49,33.615324920203534,-0.060321615970125,0.036026847725960286,0.9401465642115588,0.9401465642115588,0.2862563344913217,0.31202128371566407,-0.008034877805191212,1.880394763565399,0.5867231880198884,0.3534233761916704,-0.019658459549622198
50,33.60975670261897,-0.0484105033311505,0.03502926375143954,0.936562059691202,0.936562059691202,0.2895757471420925,0.3151607649314299,-0.007809061712259231,1.8813413605547755,0.5929249822895801,0.3436370774016219,-0.003584504520356857
51,33.61257369259475,0.0090057331139934,0.03379819076333039,0.9314206330604492,0.9314206330604492,0.2856321351897817,0.3189283589414984,-0.007736590609661301,1.8808624722588922,0.599860381672178,0.33156025138827117,-0.005141426630752788
52,33.61474238948256,-0.003507277885872,0.03256706649195244,0.9111837330570666,0.9111837330570666,0.2733471136375373,0.3146518285386749,-0.009877615652237628,1.880493793787965,0.5917008107710131,0.31948292228605346,-0.02023690000338263
