t,vEgo,aEgo,roll,rollLateralAcceleration,targetLateralAcceleration,currentLateralAcceleration,steerCommand,gain,lag,error,lookahead_target
20,1.948954902521127,-0.1096147945162907,0.0144445799285107,0.1416964015834578,0.003129084115291,0.003129084115291,-0.1231992156728411,1.0183641373277466,3,-3.4804325582899875e-05,0.0031253782480087
21,1.9428132928053927,-0.0780709892379304,0.0145822217159531,0.1430465253104978,0.0032025060033858,0.0032025060033858,-0.1242323991208939,1.017565728064701,3,7.342188809479969e-05,0.0031132220217808
22,1.934385539676429,-0.0795736506869394,0.0147198635033955,0.14439664632748395,0.0031644547724533,0.0031644547724533,-0.1261878526047251,1.0164701201579358,3,-3.80512309325e-05,0.0031175429082422
23,1.9251846758796347,-0.0910495897145498,0.014983996504036897,0.1469875052843716,0.0031253782480087,0.0031253782480087,-0.1282204064609682,1.0152740078643525,3,-3.907652444460003e-05,0.0031300076339414
24,1.922925888628929,-0.0465879537432361,0.015261755070500002,0.14971200523448622,0.0031132220217808,0.0031132220217808,-0.1297316167367443,1.0149803655217609,3,-1.215622622789984e-05,0.0031449272716614
25,1.92268800364702,-0.0150737619644816,0.0154697190492972,0.15175189102460726,0.0031175429082422,0.0031175429082422,-0.1305239031818761,1.0149494404741126,3,4.320886461399876e-06,0.0031818137599512
26,1.9278680162269,0.0252883330867224,0.0155799984193258,0.15283360127337506,0.0031300076339414,0.0031300076339414,-0.1313130291937852,1.015622842109497,3,1.2464725699200176e-05,0.0032320771585072
27,1.937666282758004,0.070984572361458,0.0156902777893544,0.153915309663451,0.0031449272716614,0.0031449272716614,-0.1320707434871975,1.0168966167585405,3,1.4919637720000028e-05,0.0033057671111433
28,1.9525272323929463,0.1175873789348268,0.0157986850544901,0.1549786531248857,0.0031818137599512,0.0031818137599512,-0.1328157463598005,1.018828540211083,3,3.688648828979995e-05,0.0033760334218138
29,1.971518166184756,0.1667780417919978,0.0159068804879858,0.15603991695950553,0.0032320771585072,0.0032320771585072,-0.1336574385858837,1.0212973616040184,3,5.026339855599988e-05,0.0034284353910437
