t,vEgo,aEgo,roll,targetLateralAcceleration,steerCommand
0.0,20,0.0,0.0,0.0,0.0
0.1,20,0.0,0.0,0.0,0.0
0.2,20,0.0,0.0,0.0,0.0
0.30000000000000004,20,0.0,0.0,0.0,0.0
0.4,20,0.0,0.0,0.0,0.0
0.5,20,0.0,0.0,0.0,0.0
0.6000000000000001,20,0.0,0.0,0.0,0.0
0.7000000000000001,20,0.0,0.0,0.0,0.0
0.8,20,0.0,0.0,0.0,0.0
0.9,20,0.0,0.0,0.0,0.0
1.0,20,0.0,0.0,0.0,0.0
1.1,20,0.0,0.0,0.0,0.0
1.2000000000000002,20,0.0,0.0,0.0,0.0
1.3,20,0.0,0.0,0.0,0.0
1.4000000000000001,20,0.0,0.0,0.0,0.0
1.5,20,0.0,0.0,0.0,0.0
1.6,20,0.0,0.0,0.0,0.0
1.7000000000000002,20,0.0,0.0,0.0,0.0
1.8,20,0.0,0.0,0.0,0.0
1.9000000000000001,20,0.0,0.0,0.0,0.0
2.0,20,0.0,0.0,0.0,0.0
2.1,20,0.0,0.0,0.0,0.0
2.2,20,0.0,0.0,0.0,0.0
2.3000000000000003,20,0.0,0.0,0.0,0.0
2.4000000000000004,20,0.0,0.0,0.0,0.0
2.5,20,0.0,0.0,0.0,0.0
2.6,20,0.0,0.0,0.0,0.0
2.7,20,0.0,0.0,0.0,0.0
2.8000000000000003,20,0.0,0.0,0.0,0.0
2.9000000000000004,20,0.0,0.0,0.0,0.0
3.0,20,0.0,0.0,0.0,0.0
3.1,20,0.0,0.0,0.0,0.0
3.2,20,0.0,0.0,0.0,0.0
3.3000000000000003,20,0.0,0.0,0.0,0.0
3.4000000000000004,20,0.0,0.0,0.0,0.0
3.5,20,0.0,0.0,0.0,0.0
3.6,20,0.0,0.0,0.0,0.0
3.7,20,0.0,0.0,0.0,0.0
3.8000000000000003,20,0.0,0.0,0.0,0.0
3.9000000000000004,20,0.0,0.0,0.0,0.0
4.0,20,0.0,0.0,0.0,0.0
4.1000000000000005,20,0.0,0.0,0.0,0.0
4.2,20,0.0,0.0,0.0,0.0
4.3,20,0.0,0.0,0.0,0.0
4.4,20,0.0,0.0,0.0,0.0
4.5,20,0.0,0.0,0.0,0.0
4.6000000000000005,20,0.0,0.0,0.0,0.0
4.7,20,0.0,0.0,0.0,0.0
4.800000000000001,20,0.0,0.0,0.0,0.0
4.9,20,0.0,0.0,0.0,0.0
5.0,20,0.0,0.0,0.0,0.0
5.1000000000000005,20,0.0,0.0,0.0,0.0
5.2,20,0.0,0.0,0.0,0.0
5.300000000000001,20,0.0,0.0,0.0,0.0
5.4,20,0.0,0.0,0.0,0.0
5.5,20,0.0,0.0,0.0,0.0
5.6000000000000005,20,0.0,0.0,0.0,0.0
5.7,20,0.0,0.0,0.0,0.0
5.800000000000001,20,0.0,0.0,0.0,0.0
5.9,20,0.0,0.0,0.0,0.0
6.0,20,0.0,0.0,0.0,0.0
6.1000000000000005,20,0.0,0.0,0.0,0.0
6.2,20,0.0,0.0,0.0,0.0
6.300000000000001,20,0.0,0.0,0.0,0.0
6.4,20,0.0,0.0,0.0,0.0
6.5,20,0.0,0.0,0.0,0.0
6.6000000000000005,20,0.0,0.0,0.0,0.0
6.7,20,0.0,0.0,0.0,0.0
6.800000000000001,20,0.0,0.0,0.0,0.0
6.9,20,0.0,0.0,0.0,0.0
7.0,20,0.0,0.0,0.0,0.0
7.1000000000000005,20,0.0,0.0,0.0,0.0
7.2,20,0.0,0.0,0.0,0.0
7.300000000000001,20,0.0,0.0,0.0,0.0
7.4,20,0.0,0.0,0.0,0.0
7.5,20,0.0,0.0,0.0,0.0
7.6000000000000005,20,0.0,0.0,0.0,0.0
7.7,20,0.0,0.0,0.0,0.0
7.800000000000001,20,0.0,0.0,0.0,0.0
7.9,20,0.0,0.0,0.0,0.0
8.0,20,0.0,0.0,0.0,0.0
8.1,20,0.0,0.0,0.0,0.0
8.200000000000001,20,0.0,0.0,0.0,0.0
8.3,20,0.0,0.0,0.0,0.0
8.4,20,0.0,0.0,0.0,0.0
8.5,20,0.0,0.0,0.0,0.0
8.6,20,0.0,0.0,0.0,0.0
8.700000000000001,20,0.0,0.0,0.0,0.0
8.8,20,0.0,0.0,0.0,0.0
8.9,20,0.0,0.0,0.0,0.0
9.0,20,0.0,0.0,0.0,0.0
9.1,20,0.0,0.0,0.0,0.0
9.200000000000001,20,0.0,0.0,0.0,0.0
9.3,20,0.0,0.0,0.0,0.0
9.4,20,0.0,0.0,0.0,0.0
9.5,20,0.0,0.0,0.0,0.0
9.600000000000001,20,0.0,0.0,0.0,0.0
9.700000000000001,20,0.0,0.0,0.0,0.0
9.8,20,0.0,0.0,0.0,0.0
9.9,20,0.0,0.0,0.0,0.0
10.0,20,0.0,0.0,0.0,
10.100000000000001,20,0.0,0.0,0.03844213198842775,
10.200000000000001,20,0.0,0.0,0.07672629701070359,
10.3,20,0.0,0.0,0.11469517722082337,
10.4,20,0.0,0.0,0.1521927503457044,
10.5,20,0.0,0.0,0.1890649308141724,
10.600000000000001,20,0.0,0.0,0.22516020292762445,
10.700000000000001,20,0.0,0.0,0.26033024347053485,
10.8,20,0.0,0.0,0.2944305312023627,
10.9,20,0.0,0.0,0.32732094072632917,
11.0,20,0.0,0.0,0.35886631829472954,
11.100000000000001,20,0.0,0.0,0.38893703718467304,
11.200000000000001,20,0.0,0.0,0.41740953036209183,
11.3,20,0.0,0.0,0.4441667982451893,
11.4,20,0.0,0.0,0.46909888948081785,
11.5,20,0.0,0.0,0.4921033527581735,
11.600000000000001,20,0.0,0.0,0.5130856578032076,
11.700000000000001,20,0.0,0.0,0.5319595838237999,
11.8,20,0.0,0.0,0.5486475738094874,
11.9,20,0.0,0.0,0.5630810532298561,
12.0,20,0.0,0.0,0.5752007118219963,
12.100000000000001,20,0.0,0.0,0.5849567473090942,
12.200000000000001,20,0.0,0.0,0.5923090700486701,
12.3,20,0.0,0.0,0.597227467769519,
12.4,20,0.0,0.0,0.5996917297204127,
12.5,20,0.0,0.0,0.5996917297204127,
12.600000000000001,20,0.0,0.0,0.597227467769519,
12.700000000000001,20,0.0,0.0,0.5923090700486701,
12.8,20,0.0,0.0,0.5849567473090942,
12.9,20,0.0,0.0,0.5752007118219964,
13.0,20,0.0,0.0,0.5630810532298562,
13.100000000000001,20,0.0,0.0,0.5486475738094876,
13.200000000000001,20,0.0,0.0,0.5319595838238,
13.3,20,0.0,0.0,0.5130856578032077,
13.4,20,0.0,0.0,0.4921033527581736,
13.5,20,0.0,0.0,0.4690988894808179,
13.600000000000001,20,0.0,0.0,0.4441667982451894,
13.700000000000001,20,0.0,0.0,0.4174095303620919,
13.8,20,0.0,0.0,0.38893703718467326,
13.9,20,0.0,0.0,0.35886631829472965,
14.0,20,0.0,0.0,0.3273209407263294,
14.100000000000001,20,0.0,0.0,0.29443053120236284,
14.200000000000001,20,0.0,0.0,0.2603302434705349,
14.3,20,0.0,0.0,0.22516020292762468,
14.4,20,0.0,0.0,0.18906493081417253,
14.5,20,0.0,0.0,0.15219275034570467,
14.600000000000001,20,0.0,0.0,0.11469517722082352,
14.700000000000001,20,0.0,0.0,0.0767262970107039,
14.8,20,0.0,0.0,0.038442131988427934,
14.9,20,0.0,0.0,7.347880794884119e-17,
15.0,20,0.0,0.0,-0.0,
15.100000000000001,20,0.0,0.0,-0.03844213198842775,
15.200000000000001,20,0.0,0.0,-0.07672629701070359,
15.3,20,0.0,0.0,-0.11469517722082337,
15.4,20,0.0,0.0,-0.1521927503457044,
15.5,20,0.0,0.0,-0.1890649308141724,
15.600000000000001,20,0.0,0.0,-0.22516020292762445,
15.700000000000001,20,0.0,0.0,-0.26033024347053485,
15.8,20,0.0,0.0,-0.2944305312023627,
15.9,20,0.0,0.0,-0.32732094072632917,
16.0,20,0.0,0.0,-0.35886631829472954,
16.1,20,0.0,0.0,-0.38893703718467304,
16.2,20,0.0,0.0,-0.41740953036209183,
16.3,20,0.0,0.0,-0.4441667982451893,
16.400000000000002,20,0.0,0.0,-0.46909888948081785,
16.5,20,0.0,0.0,-0.4921033527581735,
16.6,20,0.0,0.0,-0.5130856578032076,
16.7,20,0.0,0.0,-0.5319595838237999,
16.8,20,0.0,0.0,-0.5486475738094874,
16.900000000000002,20,0.0,0.0,-0.5630810532298561,
17.0,20,0.0,0.0,-0.5752007118219963,
17.1,20,0.0,0.0,-0.5849567473090942,
17.2,20,0.0,0.0,-0.5923090700486701,
17.3,20,0.0,0.0,-0.597227467769519,
17.400000000000002,20,0.0,0.0,-0.5996917297204127,
17.5,20,0.0,0.0,-0.5996917297204127,
17.6,20,0.0,0.0,-0.597227467769519,
17.7,20,0.0,0.0,-0.5923090700486701,
17.8,20,0.0,0.0,-0.5849567473090942,
17.900000000000002,20,0.0,0.0,-0.5752007118219964,
18.0,20,0.0,0.0,-0.5630810532298562,
18.1,20,0.0,0.0,-0.5486475738094876,
18.2,20,0.0,0.0,-0.5319595838238,
18.3,20,0.0,0.0,-0.5130856578032077,
18.400000000000002,20,0.0,0.0,-0.4921033527581736,
18.5,20,0.0,0.0,-0.4690988894808179,
18.6,20,0.0,0.0,-0.4441667982451894,
18.7,20,0.0,0.0,-0.4174095303620919,
18.8,20,0.0,0.0,-0.38893703718467326,
18.900000000000002,20,0.0,0.0,-0.35886631829472965,
19.0,20,0.0,0.0,-0.3273209407263294,
19.1,20,0.0,0.0,-0.29443053120236284,
19.200000000000003,20,0.0,0.0,-0.2603302434705349,
19.3,20,0.0,0.0,-0.22516020292762468,
19.400000000000002,20,0.0,0.0,-0.18906493081417253,
19.5,20,0.0,0.0,-0.15219275034570467,
19.6,20,0.0,0.0,-0.11469517722082352,
19.700000000000003,20,0.0,0.0,-0.0767262970107039,
19.8,20,0.0,0.0,-0.038442131988427934,
19.900000000000002,20,0.0,0.0,-7.347880794884119e-17,
20.0,20,0.0,0.0,0.0,
20.1,20,0.0,0.0,0.03844213198842775,
20.200000000000003,20,0.0,0.0,0.07672629701070359,
20.3,20,0.0,0.0,0.11469517722082337,
20.400000000000002,20,0.0,0.0,0.1521927503457044,
20.5,20,0.0,0.0,0.1890649308141724,
20.6,20,0.0,0.0,0.22516020292762445,
20.700000000000003,20,0.0,0.0,0.26033024347053485,
20.8,20,0.0,0.0,0.2944305312023627,
20.900000000000002,20,0.0,0.0,0.32732094072632917,
21.0,20,0.0,0.0,0.35886631829472954,
21.1,20,0.0,0.0,0.38893703718467304,
21.200000000000003,20,0.0,0.0,0.41740953036209183,
21.3,20,0.0,0.0,0.4441667982451893,
21.400000000000002,20,0.0,0.0,0.46909888948081785,
21.5,20,0.0,0.0,0.4921033527581735,
21.6,20,0.0,0.0,0.5130856578032076,
21.700000000000003,20,0.0,0.0,0.5319595838237999,
21.8,20,0.0,0.0,0.5486475738094874,
21.900000000000002,20,0.0,0.0,0.5630810532298561,
22.0,20,0.0,0.0,0.5752007118219963,
22.1,20,0.0,0.0,0.5849567473090942,
22.200000000000003,20,0.0,0.0,0.5923090700486701,
22.3,20,0.0,0.0,0.597227467769519,
22.400000000000002,20,0.0,0.0,0.5996917297204127,
22.5,20,0.0,0.0,0.5996917297204127,
22.6,20,0.0,0.0,0.597227467769519,
22.700000000000003,20,0.0,0.0,0.5923090700486701,
22.8,20,0.0,0.0,0.5849567473090942,
22.900000000000002,20,0.0,0.0,0.5752007118219964,
23.0,20,0.0,0.0,0.5630810532298562,
23.1,20,0.0,0.0,0.5486475738094876,
23.200000000000003,20,0.0,0.0,0.5319595838238,
23.3,20,0.0,0.0,0.5130856578032077,
23.400000000000002,20,0.0,0.0,0.4921033527581736,
23.5,20,0.0,0.0,0.4690988894808179,
23.6,20,0.0,0.0,0.4441667982451894,
23.700000000000003,20,0.0,0.0,0.4174095303620919,
23.8,20,0.0,0.0,0.38893703718467326,
23.900000000000002,20,0.0,0.0,0.35886631829472965,
24.0,20,0.0,0.0,0.3273209407263294,
24.1,20,0.0,0.0,0.29443053120236284,
24.200000000000003,20,0.0,0.0,0.2603302434705349,
24.3,20,0.0,0.0,0.22516020292762468,
24.400000000000002,20,0.0,0.0,0.18906493081417253,
24.5,20,0.0,0.0,0.15219275034570467,
